1,1,0,0
2,1,0,0
3,3,0,0
4,3,0,0
5,3,1,0
6,3,1,0
7,4,1,1
8,6,1,1
9,7,3,1
10,9,3,1
11,13,4,1
12,15,5,1
13,17,6,1
14,29,6,1
15,47,6,1
16,59,6,1
17,95,6,1
18,123,9,1
19,143,9,1
20,168,10,1
21,217,19,1
22,262,19,1
23,279,25,1
24,322,31,1
25,394,52,1
26,489,64,7
27,654,73,13
28,764,79,18
29,916,86,31
30,1047,94,46
31,1309,115,56
32,1469,139,67
33,1777,170,81
34,1969,211,97
35,2262,222,111
36,2477,252,119
37,2738,252,133
38,3184,268,145
39,3613,329,148
40,3864,374,150
